_id,ServiceId,ClientId,OperationCount,TransactionTimeStamp,Service,Status
"ObjectId(""5fb398f8e566a674ed4d3b48"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:33:44.610Z""""",Footbal Nigeria,0
"ObjectId(""5fb398f8e566a674ed4d3b49"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:33:44.610Z""""",Footbal Nigeria,0
"ObjectId(""5fb398f8e566a674ed4d3b4a"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:33:44.610Z""""",Footbal Nigeria,0
"ObjectId(""5fb398f8e566a674ed4d3b4b"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:33:44.610Z""""",Footbal Nigeria,0
"ObjectId(""5fb398f8e566a674ed4d3b4c"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:33:44.610Z""""",Footbal Nigeria,0
"ObjectId(""5fb398f8e566a674ed4d3b4d"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:33:44.610Z""""",Footbal Nigeria,0
"ObjectId(""5fb398f8e566a674ed4d3b4e"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:33:44.610Z""""",Footbal Nigeria,0
"ObjectId(""5fb398f8e566a674ed4d3b4f"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:33:44.610Z""""",Footbal Nigeria,0
"ObjectId(""5fb398f8e566a674ed4d3b50"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:33:44.610Z""""",Footbal Nigeria,0
"ObjectId(""5fb398f8e566a674ed4d3b51"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:33:44.610Z""""",Footbal Nigeria,0
"ObjectId(""5fb3998fe566a674ed4d3b5d"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:36:15.513Z""""",Footbal Nigeria,0
"ObjectId(""5fb3998fe566a674ed4d3b5e"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:36:15.513Z""""",Footbal Nigeria,0
"ObjectId(""5fb3998fe566a674ed4d3b5f"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:36:15.513Z""""",Footbal Nigeria,0
"ObjectId(""5fb3998fe566a674ed4d3b60"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:36:15.513Z""""",Footbal Nigeria,0
"ObjectId(""5fb3998fe566a674ed4d3b61"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:36:15.513Z""""",Footbal Nigeria,0
"ObjectId(""5fb3998fe566a674ed4d3b62"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:36:15.513Z""""",Footbal Nigeria,0
"ObjectId(""5fb3998fe566a674ed4d3b63"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:36:15.513Z""""",Footbal Nigeria,0
"ObjectId(""5fb3998fe566a674ed4d3b64"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:36:15.513Z""""",Footbal Nigeria,0
"ObjectId(""5fb3998fe566a674ed4d3b65"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:36:15.513Z""""",Footbal Nigeria,0
"ObjectId(""5fb3998fe566a674ed4d3b66"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:36:15.513Z""""",Footbal Nigeria,0
"ObjectId(""5fb3998fe566a674ed4d3b67"")",5f8dce4c10306b193d6dc073,10003,1,"2020-11-17T09:36:15.513Z""""",Footbal Nigeria,0
"ObjectId(""5fb3aface566a674ed4d3b68"")",5fa8d4bb3317e55c653732ef,10003,1,"2020-11-17T11:10:36.065Z""""",Fraud Prevention Nigeria,0
